#{"t_start": 1590684110.992594, "env_id": "zhedLevel5-v0"}
r,l,t
-1010,8,7.08892
-1190,24,7.100913
-1020,9,7.10591
-1070,10,7.111907
-1000,5,7.166876
-1030,8,7.171873
-1010,6,7.174871
-1010,6,7.178869
-990,6,7.182866
-1100,15,7.191861
-1040,9,7.196858
-970,4,7.198857
-980,5,7.202855
-1060,13,7.21185
-1010,4,7.213849
-1020,7,7.217846
-1080,11,7.223843
-1010,8,7.22884
-1030,8,7.233837
-990,6,7.236835
-1020,5,7.239833
-1000,7,7.294802
-1030,8,7.298801
-1060,9,7.303796
-970,4,7.305795
-1010,6,7.308794
-1060,9,7.313791
-1030,6,7.316789
-1000,5,7.319788
-1080,13,7.325784
-1030,8,7.330781
-1040,11,7.337777
-1010,8,7.342774
-1010,6,7.346772
-1050,8,7.35077
-1010,8,7.355767
-1150,20,7.420729
-1090,14,7.429725
-1020,7,7.433722
-1080,13,7.439718
-1040,9,7.444716
-990,6,7.448713
-970,4,7.451712
-1120,17,7.462706
-1020,5,7.465703
-980,5,7.468702
-1170,20,7.480695
-1020,5,7.482694
-1000,7,7.487691
-1010,6,7.491689
-1050,12,7.551654
-1050,8,7.555651
-1020,7,7.559649
-1010,6,7.562648
-1030,6,7.565646
-990,6,7.569644
-1000,7,7.573641
-1030,6,7.576639
-1040,9,7.581636
-1000,7,7.586633
-990,6,7.590631
-1010,6,7.59363
-1050,10,7.599626
-1010,6,7.603624
-1050,12,7.611619
-1020,7,7.615617
-1040,7,7.618615
-1000,5,7.673584
-1030,10,7.679581
-1040,9,7.685577
-1010,6,7.689575
-1170,20,7.699569
-1000,5,7.702568
-1000,7,7.706565
-1070,10,7.713561
-1080,13,7.721556
-1060,9,7.725554
-1010,6,7.729552
-1010,6,7.73355
-1010,6,7.736547
-1030,8,7.740545
-1000,7,7.744543
-1060,9,7.80151
-1030,8,7.805508
-1020,7,7.809506
-1030,8,7.814503
-980,5,7.817501
-1030,6,7.821499
-1040,5,7.824497
-1060,9,7.828495
-1020,7,7.833492
-1030,6,7.83649
-990,4,7.839489
-1040,11,7.846485
-1060,9,7.851482
-1000,5,7.85448
-1050,12,7.862476
-1020,7,7.866473
-1000,5,7.869472
-1040,7,7.874469
-1020,5,7.928437
-1020,7,7.932435
-1050,10,7.937432
-1040,9,7.942429
-1060,9,7.947426
-1000,7,7.952423
-1150,20,7.964416
-1030,10,7.972412
-1020,9,7.977409
-1080,13,7.984406
-1060,11,7.990402
-1060,9,7.994399
-1080,13,8.054365
-1190,26,8.069356
-1070,10,8.074353
-1020,5,8.077351
-1030,6,8.08035
-990,6,8.084347
-1020,5,8.087346
-1010,6,8.091344
-1000,5,8.094342
-1000,5,8.09634
-1050,10,8.101338
-970,4,8.104336
-980,5,8.107334
-1010,8,8.112331
-1070,10,8.117329
-1030,8,8.122325
-1140,19,8.18429
-1010,6,8.188288
-1020,9,8.194284
-1040,7,8.198282
-1000,7,8.20228
-1110,16,8.211274
-1030,8,8.216271
-1090,14,8.223268
-1010,6,8.226265
-1100,15,8.23626
-990,4,8.238259
-1030,4,8.240258
-1070,14,8.250252
-970,4,8.252251
-1170,20,8.313216
-1070,12,8.321211
-1050,10,8.327207
-1040,9,8.332204
-1040,11,8.338201
-1010,6,8.342199
-990,4,8.344198
-1030,8,8.350194
-1130,18,8.360188
-1050,10,8.365185
-1050,10,8.370183
-1130,14,8.429149
-1030,8,8.433147
-1040,9,8.438144
-1000,7,8.443141
-1000,5,8.44614
-1000,5,8.448138
-1000,5,8.452136
-1000,5,8.454135
-1000,5,8.457133
-1010,6,8.461131
-990,6,8.465128
-1030,6,8.468127
-990,4,8.471125
-1130,16,8.47912
-1000,5,8.482119
-1010,8,8.487115
-1040,9,8.492112
-1020,5,8.495111
-1060,9,8.499108
-1060,11,8.557076
-1210,26,8.573066
-1150,18,8.581061
-1060,9,8.586059
-1000,5,8.589057
-1040,9,8.594054
-1050,10,8.600051
-1030,8,8.605048
-1060,11,8.612043
-970,4,8.615042
-1050,6,8.61804
-1020,7,8.621038
-980,5,8.624036
-1090,12,8.682003
-1010,8,8.687001
-1050,10,8.692997
-990,6,8.696995
-1150,18,8.70499
-1010,6,8.708988
-1020,7,8.713985
-1070,12,8.719981
-990,6,8.723979
-1060,11,8.729976
-1080,11,8.734973
-1040,9,8.74097
-1010,4,8.742969
-1020,7,8.746966
-1040,9,8.806931
-1070,12,8.814927
-1040,9,8.819924
-990,6,8.823922
-1080,13,8.830918
-1050,8,8.834915
-1020,5,8.837914
-1050,12,8.845909
-1050,12,8.853904
-970,4,8.856903
-1030,8,8.8619
-1020,5,8.864898
-1040,7,8.868896
-1090,14,8.876891
-1050,8,8.881888
-1020,7,8.939855
-970,4,8.942853
-990,6,8.945851
-990,6,8.949849
-1090,12,8.956846
-1060,9,8.961843
-1090,14,8.970838
-1050,10,8.976834
-1020,7,8.980831
-1000,5,8.98283
-1070,10,8.988827
-1080,11,8.993824
-1000,7,8.997822
-1050,10,9.002819
-1040,11,9.064783
-1050,8,9.068781
-980,5,9.072778
-990,6,9.075777
-1040,7,9.079775
-970,4,9.082773
-1040,9,9.088769
-1020,7,9.091768
-1010,6,9.094766
-1090,10,9.100763
-1030,6,9.10376
-1030,8,9.108758
-1020,5,9.111756
-1000,7,9.115754
-1080,13,9.123749
-1080,11,9.128746
-1030,10,9.135742
-1040,9,9.193709
-1060,11,9.199706
-1040,7,9.203703
-1150,20,9.213697
-1140,17,9.223692
-1040,11,9.229688
-1050,8,9.233686
-1000,5,9.237684
-1050,8,9.241681
-1040,9,9.246678
-1010,6,9.250676
-1050,10,9.257672
-1030,6,9.26067
-980,5,9.263668
-980,5,9.321636
-1040,9,9.326633
-1090,14,9.334628
-1060,9,9.339625
-1050,8,9.343623
-1000,5,9.346621
-1050,10,9.354616
-1000,5,9.356615
-1010,6,9.360613
-1020,7,9.36461
-1010,6,9.368608
-1040,11,9.375604
-970,4,9.378603
-1010,4,9.380601
-1100,15,9.388597
-1030,8,9.393594
-1060,9,9.45256
-990,4,9.455558
-1010,8,9.461555
-1040,9,9.466552
-1040,7,9.470549
-1160,17,9.478545
-1000,7,9.483542
-1030,8,9.48754
-1050,8,9.491537
-990,6,9.495535
-1030,8,9.500532
-980,5,9.503531
-1010,6,9.506529
-1020,5,9.509527
-1060,11,9.515523
-1050,8,9.519521
-980,5,9.52352
-1050,8,9.579487
-1000,7,9.584484
-1060,11,9.590481
-1050,10,9.595479
-1030,8,9.600475
-1030,8,9.604473
-1000,7,9.60947
-990,4,9.611469
-1060,9,9.616466
-1010,6,9.620463
-1030,4,9.622463
-990,4,9.625461
-1100,13,9.632456
-1040,11,9.640451
-970,4,9.64345
-1010,6,9.646448
-1010,6,9.649446
-980,5,9.705415
-1040,7,9.709412
-1020,5,9.711411
-990,4,9.71341
-1000,7,9.718407
-1130,16,9.726403
-1050,12,9.734398
-1010,4,9.736397
-1030,8,9.740395
-1110,14,9.74739
-1000,5,9.750389
-1000,5,9.753387
-990,6,9.757384
-1000,7,9.761382
-1030,8,9.766379
-1040,9,9.771376
-1020,9,9.828344
-1010,4,9.831342
-1120,17,9.841336
-990,6,9.844334
-1000,7,9.849331
-1060,11,9.855328
-1030,8,9.860325
-1090,14,9.867321
-990,6,9.871319
-1030,8,9.875316
-1130,16,9.884311
-1050,12,9.891307
-1010,6,9.894305
-980,5,9.897304
-1110,16,9.959269
-970,4,9.961267
-1040,7,9.965265
-1050,10,9.971262
-980,5,9.97426
-1020,7,9.978257
-1020,9,9.984254
-970,4,9.987252
-1000,5,9.990251
-1000,7,9.994248
-1060,9,9.999246
-1020,5,10.002244
-1020,9,10.00824
-1070,12,10.015236
-1000,5,10.018234
-990,4,10.020233
-1010,4,10.023232
-1020,5,10.02523
-1010,6,10.028229
-1030,8,10.085196
-970,4,10.087194
-1010,6,10.091192
-1000,7,10.09519
-1170,18,10.104185
-1000,5,10.107183
-1040,9,10.11218
-1030,8,10.117177
-1030,6,10.120175
-1090,16,10.12917
-1000,5,10.131169
-1020,7,10.135167
-1040,7,10.139165
-1130,18,10.152157
-1050,10,10.209125
