#{"t_start": 1590692262.788145, "env_id": "zhedLevel6-v0"}
r,l,t
-990,4,10.766804
-1030,8,10.7728
-1040,9,10.777798
-1090,10,10.835764
-1040,9,10.840761
-1010,6,10.844758
-1140,19,10.856752
-1030,8,10.86075
-1080,9,10.865746
-1030,6,10.868745
-1030,4,10.871743
-1010,6,10.875741
-1000,5,10.878739
-1090,14,10.886734
-1000,5,10.889732
-990,6,10.89373
-1040,7,10.897728
-1080,9,10.902725
-1160,19,10.966689
-1030,4,10.968688
-1010,6,10.972685
-1020,5,10.975683
-1060,11,10.982679
-1080,13,10.992674
-990,4,10.995672
-1030,6,10.99867
-1040,7,11.002668
-1080,13,11.010663
-1030,6,11.013661
-1040,7,11.017659
-1050,10,11.024655
-1020,9,11.030652
-1030,10,11.037648
-1070,12,11.096613
-1050,8,11.101611
-1020,5,11.104609
-990,4,11.107607
-1050,10,11.115602
-1060,9,11.121599
-1000,5,11.124598
-980,5,11.127596
-1000,5,11.130594
-990,4,11.133592
-1120,19,11.144586
-1090,12,11.153581
-1040,5,11.156579
-1050,6,11.159577
-1100,11,11.166574
-1040,9,11.17257
-1040,7,11.175568
-1000,5,11.230536
-990,6,11.235534
-1050,10,11.243529
-1040,9,11.248526
-1090,14,11.256521
-1000,5,11.25952
-1100,11,11.265516
-990,4,11.267515
-1040,9,11.274511
-1040,7,11.278509
-1000,5,11.281507
-1000,5,11.284505
-1060,11,11.291502
-1020,9,11.297498
-1160,19,11.307492
-1070,8,11.364459
-1010,8,11.370456
-1010,6,11.373455
-1020,7,11.378452
-970,4,11.38145
-1020,5,11.384448
-1060,9,11.388446
-1040,9,11.394442
-1020,7,11.399439
-990,4,11.402438
-1030,6,11.405436
-1090,10,11.411433
-1100,13,11.419428
-1010,8,11.425425
-1100,15,11.435418
-1050,8,11.439416
-1030,8,11.497383
-1200,23,11.512374
-1020,7,11.516372
-1010,6,11.51937
-1050,8,11.524367
-1040,9,11.529364
-990,4,11.531363
-980,5,11.534361
-1010,6,11.538359
-1050,8,11.542357
-1030,4,11.545355
-1050,8,11.550352
-990,6,11.55435
-1050,6,11.557348
-1010,8,11.562345
-1030,6,11.566343
